sucursal,producto,año,mes,cantidad,ingreso,costo
Norte,Cabernet Sauvignon,2020,01,4577,12801381.66,8001954.19
Norte,Merlot,2020,01,3835,8795119.09,6020118.0
Norte,Pinot Noir,2020,01,3237,10754628.17,7499667.89
Norte,Chardonnay,2020,01,4405,12965953.22,7842998.06
Norte,Sauvignon Blanc,2020,01,3180,7790311.85,5474702.57
Centro,Cabernet Sauvignon,2020,01,5136,14903369.2,10465158.89
Centro,Merlot,2020,01,4164,11256414.28,8066541.27
Centro,Pinot Noir,2020,01,2752,9472053.67,5850674.6
Centro,Chardonnay,2020,01,4469,12153479.34,8006357.04
Centro,Sauvignon Blanc,2020,01,3255,8829800.2,5776026.75
Sur,Cabernet Sauvignon,2020,01,5369,16420500.19,12833173.79
Sur,Merlot,2020,01,4395,10372956.08,6254584.51
Sur,Pinot Noir,2020,1,2750,9703697.07,5999892.63
Sur,Chardonnay,2020,1,4154,10931945.35,6833875.98
Sur,Sauvignon Blanc,2020,1,3565,9756295.04,7657076.96
Norte,Cabernet Sauvignon,2020,02,4795,14243841.76,11051786.35
Norte,Merlot,2020,02,4089,10917615.25,6735281.59
Norte,Pinot Noir,2020,02,2926,9919556.03,7533048.18
Norte,Chardonnay,2020,02,4755,12791349.83,7803316.63
Norte,Sauvignon Blanc,2020,02,3221,8882196.81,6749246.16
Centro,Cabernet Sauvignon,2020,02,5109,15128460.73,11032467.91
Centro,Merlot,2020,02,3613,9365113.74,6486310.29
Centro,Pinot Noir,2020,02,3068,10705060.76,6653240.45
Centro,Chardonnay,2020,02,4311,13065507.88,8857294.6
Centro,Sauvignon Blanc,2020,02,3351,9154741.29,6577085.11
Sur,Cabernet Sauvignon,2020,02,4619,13178889.73,8447474.96
Sur,Merlot,2020,02,4204,10308937.95,6631979.02
Sur,Pinot Noir,2020,02,2796,9741537.53,5980010.92
Sur,Chardonnay,2020,02,4616,13976360.39,8637160.05
Sur,Sauvignon Blanc,2020,02,3399,8203340.37,6090182.81
Norte,Cabernet Sauvignon,2020,03,4796,14377789.83,9468647.03
Norte,Merlot,2020,03,4034,9674959.29,6303551.11
Norte,Pinot Noir,2020,03,2748,9857448.02,7315782.38
Norte,Chardonnay,2020,03,4224,12128239.35,8725382.36
Norte,Sauvignon Blanc,2020,03,3694,10387170.09,8200014.54
Centro,Cabernet Sauvignon,2020,03,4512,12259470.6,9402378.04
Centro,Merlot,2020,03,3634,9514341.87,7487574.95
Centro,Pinot Noir,2020,03,3009,10800501.46,6547421.57
Centro,Chardonnay,2020,03,4332,13125264.8,8903031.38
Centro,Sauvignon Blanc,2020,03,3566,8910139.56,5757273.34
Sur,Cabernet Sauvignon,2020,03,5378,15806065.65,11959803.7
Sur,Merlot,2020,03,3977,9962970.44,6774502.99
Sur,Pinot Noir,2020,03,3123,10006559.83,7367731.19
Sur,Chardonnay,2020,03,4307,12507614.26,9352005.85
Sur,Sauvignon Blanc,2020,03,3183,8074211.48,5270001.21
Norte,Cabernet Sauvignon,2020,04,5249,15185387.24,9303923.37
Norte,Merlot,2020,04,3642,8916042.71,6962048.45
Norte,Pinot Noir,2020,04,2815,9297157.26,6671331.99
Norte,Chardonnay,2020,04,4843,13418118.15,10219811.51
Norte,Sauvignon Blanc,2020,04,3741,9189688.02,6068601.12
Centro,Cabernet Sauvignon,2020,04,4923,14670839.89,11471474.78
Centro,Merlot,2020,04,4187,10407272.8,7024907.33
Centro,Pinot Noir,2020,04,2728,8851170.65,7065590.19
Centro,Chardonnay,2020,04,4266,11008697.7,7251659.79
Centro,Sauvignon Blanc,2020,04,3655,10447847.83,7771524.73
Sur,Cabernet Sauvignon,2020,04,4639,14687323.04,11073976.51
Sur,Merlot,2020,04,3739,9582836.47,6106291.66
Sur,Pinot Noir,2020,04,3131,11844238.88,9326760.05
Sur,Chardonnay,2020,04,4660,12933748.66,7884542.65
Sur,Sauvignon Blanc,2020,04,3670,10173397.8,7064450.13
Norte,Cabernet Sauvignon,2020,05,5022,16155928.67,12674817.46
Norte,Merlot,2020,05,4348,10636943.83,7915592.87
Norte,Pinot Noir,2020,05,3064,11647977.74,7423738.14
Norte,Chardonnay,2020,05,4451,12950085.25,10247101.17
Norte,Sauvignon Blanc,2020,05,3830,9983497.61,7334121.38
Centro,Cabernet Sauvignon,2020,05,4781,15699177.97,10525829.79
Centro,Merlot,2020,05,4009,9996103.63,6192028.12
Centro,Pinot Noir,2020,05,2956,9696891.4,6727478.52
Centro,Chardonnay,2020,05,4193,12597643.7,9081205.2
